symbol,first_date,last_date,delisted,pct_missing_within_life,eligible_from,ever_eligible,reason_excluded
A,1999-11-18,2026-01-30,False,0.0,2015-01-30,True,
AABA-201910,1996-04-12,2019-10-02,True,0.0,2015-01-30,True,
AAL,2013-12-09,2026-01-30,False,0.0,2015-01-30,True,
AAL-199702,1990-01-02,1997-02-21,True,0.05534034311012728,,False,
AAMRQ-201312,1990-01-02,2013-12-06,True,0.01657550140891762,,False,
AAP,2001-11-29,2026-01-30,False,0.0,2015-01-30,True,
AAPL,1990-01-02,2026-01-30,False,0.0,2015-01-30,True,
AAV-199901,1990-01-02,1999-01-29,True,0.130718954248366,,False,
ABBV,2012-12-10,2026-01-30,False,0.0,2015-01-30,True,
ABI-200811,1990-01-02,2008-11-21,True,0.0,,False,
ABKFQ-201304,1991-07-11,2013-04-30,True,0.0,,False,
ABMD-202212,1990-01-02,2022-12-21,True,0.6017571308220002,2015-01-30,True,
ABNB,2020-12-10,2026-01-30,False,0.0,2022-01-31,True,
ABS-200606,1990-01-02,2006-06-01,True,0.0,,False,
ABT,1990-01-02,2026-01-30,False,0.0,2015-01-30,True,
ACAS-201701,1997-08-29,2017-01-03,True,0.041084634346754315,2015-01-30,True,
ACGL,1995-09-14,2026-01-30,False,0.5362982341399608,2015-01-30,True,
ACKH-200712,1990-01-02,2007-12-12,True,0.08837825894829872,,False,
ACN,2001-07-19,2026-01-30,False,0.0,2015-01-30,True,
ACS-201002,1994-09-27,2010-02-05,True,0.18092530369604548,,False,
ACV-201105,1990-01-02,2011-05-10,True,0.0,,False,
ACY-199411,1990-01-02,1994-11-22,True,0.0,,False,
ADBE,1990-01-02,2026-01-30,False,0.0,2015-01-30,True,
ADCT-201012,1990-01-02,2010-12-09,True,0.0,,False,
ADI,1990-01-02,2026-01-30,False,0.0,2015-01-30,True,
ADM,1990-01-02,2026-01-30,False,0.0,2015-01-30,True,
ADP,1990-01-02,2026-01-30,False,0.0,2015-01-30,True,
ADSK,1990-01-02,2026-01-30,False,0.0,2015-01-30,True,
ADT-201604,2012-09-17,2016-04-29,True,0.0,2015-01-30,True,
AEE,1990-01-02,2026-01-30,False,0.0,2015-01-30,True,
AEP,1990-01-02,2026-01-30,False,0.0,2015-01-30,True,
AES,1991-06-26,2026-01-30,False,0.0,2015-01-30,True,
AET-201811,1990-01-02,2018-11-28,True,0.0,2015-01-30,True,
AFL,1990-01-02,2026-01-30,False,0.0,2015-01-30,True,
AFS-200011,1996-05-08,2000-11-30,True,0.0,,False,
AGC-200108,1990-01-02,2001-08-28,True,0.0,,False,
AGN-201503,1990-01-02,2015-03-16,True,0.0,2015-01-30,True,
AGN-202005,1993-02-17,2020-05-08,True,0.0,2015-01-30,True,
AHM-199810,1990-01-02,1998-10-01,True,0.0,,False,
AIG,1990-01-02,2026-01-30,False,0.0,2015-01-30,True,
AIT-199910,1990-01-02,1999-10-08,True,0.0,,False,
AIV,1994-07-22,2026-01-30,False,0.0,2015-01-30,True,
AIZ,2004-02-05,2026-01-30,False,0.0,2015-01-30,True,
AJG,1990-01-02,2026-01-30,False,0.6822933861560471,2015-01-30,True,
AKAM,1999-10-29,2026-01-30,False,0.0,2015-01-30,True,
AKS-202003,1994-03-30,2020-03-12,True,0.0,2015-01-30,True,
AL-200711,1990-01-02,2007-11-14,True,0.0,,False,
ALB,1994-02-22,2026-01-30,False,0.0,2015-01-30,True,
ALGN,2001-01-26,2026-01-30,False,0.0,2015-01-30,True,
ALK,1990-01-02,2026-01-30,False,0.0,2015-01-30,True,
ALL,1993-06-03,2026-01-30,False,0.0,2015-01-30,True,
ALLE,2013-11-18,2026-01-30,False,0.0,2015-01-30,True,
ALTR-201512,1990-01-02,2015-12-24,True,0.0,2015-01-30,True,
ALXN-202107,1996-02-28,2021-07-20,True,0.015644555694618274,2015-01-30,True,
AM-201308,1990-01-02,2013-08-08,True,0.0,,False,
AMAT,1990-01-02,2026-01-30,False,0.0,2015-01-30,True,
AMCC-201701,1997-11-25,2017-01-26,True,0.0,2015-01-30,True,
AMCR,2019-06-11,2026-01-30,False,0.0,2020-07-31,True,
AMD,1990-01-02,2026-01-30,False,0.0,2015-01-30,True,
AME,1990-01-02,2026-01-30,False,0.0,2015-01-30,True,
AMG,1997-11-21,2026-01-30,False,0.0,2015-01-30,True,
AMGN,1990-01-02,2026-01-30,False,0.0,2015-01-30,True,
AMH-199709,1990-01-02,1997-09-18,True,0.0,,False,
AMP,2005-09-15,2026-01-30,False,0.0,2015-01-30,True,
AMP-199904,1990-01-02,1999-04-01,True,0.0,,False,
AMT,1998-02-27,2026-01-30,False,0.0,2015-01-30,True,
AMT-199607,1990-01-02,1996-07-02,True,0.12158054711246201,,False,
AMTM,2024-09-24,2026-01-30,False,0.0,2025-10-31,True,
AMX-199311,1990-01-02,1993-11-15,True,0.0,,False,
AMZN,1997-05-15,2026-01-30,False,0.0,2015-01-30,True,
AN,1990-05-11,2026-01-30,False,0.15562472209871053,2015-01-30,True,
AN-199812,1990-01-02,1998-12-31,True,0.04393673110720562,,False,
ANDV-201809,1990-01-02,2018-09-28,True,0.041413583655438985,2015-01-30,True,
ANDW-200712,1990-01-02,2007-12-27,True,0.0,,False,
ANET,2014-06-06,2026-01-30,False,0.0,2015-07-31,True,
ANF,1996-09-26,2026-01-30,False,0.0,2015-01-30,True,
ANRZQ-201607,2005-02-15,2016-07-26,True,0.03471017007983339,2015-01-30,True,
ANSS-202507,1996-06-20,2025-07-16,True,0.05468963631391851,2015-01-30,True,
ANV-199904,1990-01-02,1999-04-09,True,0.0,,False,
AON,1990-01-02,2026-01-30,False,0.0,2015-01-30,True,
AOS,1990-01-02,2026-01-30,False,0.8913832948167713,2015-01-30,True,
APA,1990-01-02,2026-01-30,False,0.0,2015-01-30,True,
APC-201908,1990-01-02,2019-08-08,True,0.0,2015-01-30,True,
APCC-200702,1990-01-02,2007-02-14,True,0.0,,False,
APD,1990-01-02,2026-01-30,False,0.0,2015-01-30,True,
APH,1991-11-08,2026-01-30,False,0.02320993385168852,2015-01-30,True,
APO,2011-03-30,2026-01-30,False,0.0,2015-01-30,True,
APOL-201702,1994-12-06,2017-02-01,True,0.0,2015-01-30,True,
APP,2021-04-15,2026-01-30,False,0.0,2022-05-31,True,
APTV,2011-11-17,2026-01-30,False,0.0,2015-01-30,True,
AR-199911,1990-01-02,1999-11-17,True,0.0,,False,
ARC-200004,1990-01-02,2000-04-17,True,0.0,,False,
ARE,1997-05-28,2026-01-30,False,0.01386001386001386,2015-01-30,True,
ARES,2014-05-02,2026-01-30,False,0.0,2015-06-30,True,
ARG-201605,1990-01-02,2016-05-20,True,0.03007518796992481,2015-01-30,True,
AS-199909,1990-01-02,1999-09-30,True,0.0,,False,
ASC-199906,1990-01-02,1999-06-23,True,0.0,,False,
ASH,1990-01-02,2026-01-30,False,0.0,2015-01-30,True,
ASN-200710,1990-01-02,2007-10-05,True,0.5358338914936369,,False,
ASND-199906,1994-05-13,1999-06-24,True,0.0,,False,
ASO-200611,1990-01-02,2006-11-03,True,0.0,,False,
AT-200711,1990-01-02,2007-11-16,True,0.0,,False,
ATGE,1991-06-21,2026-01-30,False,0.4130808950086058,2015-01-30,True,
ATI,1990-01-02,2026-01-30,False,0.0,2015-01-30,True,
ATI-199906,1993-12-03,1999-06-29,True,0.0,,False,
ATO,1990-01-02,2026-01-30,False,0.055023660173874764,2015-01-30,True,
ATVI-202310,1990-01-02,2023-10-12,True,8.471389965926448,2015-01-30,True,
AV-200710,2000-09-18,2007-10-25,True,0.0,,False,
AVB,1994-03-11,2026-01-30,False,0.0124595066035385,2015-01-30,True,
AVGO,2009-08-06,2026-01-30,False,0.0,2015-01-30,True,
AVP-202001,1990-01-02,2020-01-03,True,0.0,2015-01-30,True,
AVY,1990-01-02,2026-01-30,False,0.0,2015-01-30,True,
AW-200812,1991-09-10,2008-12-05,True,0.23004370830457788,,False,
AWE-200410,2000-04-27,2004-10-26,True,0.0,,False,
AWK,2008-04-23,2026-01-30,False,0.0,2015-01-30,True,
AXON,2001-06-07,2026-01-30,False,0.0,2015-01-30,True,
AXP,1990-01-02,2026-01-30,False,0.0,2015-01-30,True,
AYE-201102,1990-01-02,2011-02-25,True,0.0,,False,
AYI,2001-11-28,2026-01-30,False,0.0,2015-01-30,True,
AZA-200106,1990-01-02,2001-06-22,True,0.034482758620689655,,False,
AZO,1991-04-02,2026-01-30,False,0.0,2015-01-30,True,
B,1990-01-02,2026-01-30,False,0.0,2015-01-30,True,
BA,1990-01-02,2026-01-30,False,0.0,2015-01-30,True,
BAC,1990-01-02,2026-01-30,False,0.0,2015-01-30,True,
BAC-199809,1990-01-02,1998-09-30,True,0.0,,False,
BALL,1990-01-02,2026-01-30,False,0.0,2015-01-30,True,
BAX,1990-01-02,2026-01-30,False,0.0,2015-01-30,True,
BAY-199808,1991-07-31,1998-08-28,True,0.0,,False,
BBBYQ-202309,1992-06-05,2023-09-29,True,0.0,2015-01-30,True,
